equipment_id,equipment_name,equipment_type,assigned_rig_id,status,purchase_date,purchase_cost,annual_maintenance_cost,last_maintenance_date,expected_life_years
EQ001,Drilling Motor-001,Drawworks,RIG139,Active,2022-10-18,605492,92536,2024-08-07,14
EQ002,Rotary Table-002,Rotary Table,RIG147,Maintenance,2016-10-20,4446742,93904,2024-03-24,24
EQ003,Blowout Preventer-003,Rotary Table,RIG073,Active,2016-06-28,3919582,107358,2024-03-06,24
EQ004,Drill Pipe-004,Pressure Pump,RIG030,Active,2022-01-29,2739440,141796,2024-01-05,15
EQ005,Drill Pipe-005,Drilling Motor,RIG027,Maintenance,2016-07-24,1306812,101374,2024-05-29,6
EQ006,Power System-006,Drilling Motor,RIG107,Active,2019-10-11,1072093,195535,2024-09-18,19
EQ007,Top Drive-007,Mud Pump,RIG038,Maintenance,2019-01-05,505668,32283,2024-02-13,21
EQ008,Drawworks-008,Drill Pipe,RIG172,Active,2019-06-09,4875460,142870,2024-07-22,5
EQ009,Pressure Pump-009,Power System,RIG016,Active,2017-09-22,4559875,35982,2024-02-25,14
EQ010,Drill Pipe-010,Mud Pump,RIG127,Active,2017-06-27,2357194,196991,2024-04-24,10
EQ011,Top Drive-011,Top Drive,RIG059,Maintenance,2021-05-10,3231846,45083,2024-08-23,15
EQ012,Drilling Motor-012,Blowout Preventer,RIG142,Active,2016-08-07,1460819,173712,2024-03-06,19
EQ013,Power System-013,Drawworks,RIG112,Active,2018-09-20,1437510,156408,2024-05-06,12
EQ014,BOP Stack-014,Drawworks,RIG023,Active,2020-11-17,1543223,73180,2024-07-29,6
EQ015,Mud Pump-015,Drill Pipe,RIG047,Active,2021-06-25,2542705,119593,2024-03-10,17
EQ016,BOP Stack-016,Power System,RIG195,Active,2021-06-16,3629874,109760,2024-08-17,20
EQ017,Drilling Motor-017,Mud Pump,RIG022,Active,2015-12-17,3651152,152230,2024-01-09,15
EQ018,BOP Stack-018,Mud Pump,RIG044,Maintenance,2020-06-18,3297785,143229,2024-04-17,17
EQ019,Drawworks-019,Top Drive,RIG076,Maintenance,2020-06-05,4551270,196049,2024-01-13,23
EQ020,Power System-020,Rotary Table,RIG057,Active,2015-10-24,566250,94267,2024-08-06,20
EQ021,Power System-021,Rotary Table,RIG109,Active,2020-11-20,3453241,87439,2024-05-27,6
EQ022,Power System-022,Blowout Preventer,RIG131,Active,2020-01-21,3092259,162002,2024-07-11,18
EQ023,Rotary Table-023,Rotary Table,RIG141,Maintenance,2020-10-18,2630152,46577,2024-09-10,19
EQ024,Drill Pipe-024,Mud Pump,RIG187,Active,2018-01-08,980087,38366,2024-01-18,16
EQ025,BOP Stack-025,Drill Pipe,RIG183,Active,2019-08-29,883141,192109,2024-07-28,22
EQ026,Drilling Motor-026,Blowout Preventer,RIG050,Active,2019-07-31,2665121,64785,2024-05-01,10
EQ027,Blowout Preventer-027,Drawworks,RIG039,Active,2019-07-24,520590,42764,2024-09-04,18
EQ028,BOP Stack-028,Blowout Preventer,RIG041,Active,2020-08-01,4701732,155555,2024-07-10,16
EQ029,Pressure Pump-029,Blowout Preventer,RIG028,Maintenance,2015-11-08,4470971,122293,2024-06-26,19
EQ030,Blowout Preventer-030,Mud Pump,RIG024,Active,2021-09-19,1153786,156100,2024-05-08,20
EQ031,Pressure Pump-031,Pressure Pump,RIG148,Active,2022-06-06,2912187,131008,2024-06-10,5
